# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "genome/GCA_001949185.1_Rvar_4.0_genomic.gtf" "-o" "counts/gene_counts.txt" "bam/SRR13696355.bam" "bam/SRR13696356.bam" "bam/SRR13696357.bam" "bam/SRR13696379.bam" "bam/SRR13696380.bam" "bam/SRR13696381.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR13696355.bam	bam/SRR13696356.bam	bam/SRR13696357.bam	bam/SRR13696379.bam	bam/SRR13696380.bam	bam/SRR13696381.bam
RvY_t0037	BDGG01000004.1	1438738	1438808	-	71	0	0	0	0	0	0
RvY_t0038	BDGG01000004.1	2058784	2058864	+	81	0	0	0	0	0	0
RvY_t0039	BDGG01000004.1	2652281	2652353	+	73	2	2	0	0	0	0
RvY_t0040	BDGG01000004.1;BDGG01000004.1	3595303;3595355	3595339;3595399	+;+	82	0	0	0	0	0	0
RvY_t0041	BDGG01000004.1	3905827	3905899	+	73	0	0	0	0	0	0
RvY_t0042	BDGG01000005.1	227108	227178	-	71	0	0	0	0	0	0
RvY_r0010	BDGG01000005.1	956366	956480	+	115	1	5	0	0	0	0
RvY_t0043	BDGG01000005.1	1039006	1039078	-	73	0	0	0	0	0	0
RvY_t0044	BDGG01000005.1	1270896	1270968	+	73	3	0	0	0	0	0
RvY_t0045	BDGG01000005.1	1820843	1820914	-	72	0	0	0	0	0	0
RvY_r0011	BDGG01000005.1	2011832	2011946	-	115	0	4	1	0	0	0
RvY_t0046	BDGG01000005.1	2025847	2025918	+	72	0	0	0	0	0	0
RvY_t0047	BDGG01000005.1	2103586	2103659	-	74	0	0	0	0	0	0
RvY_r0012	BDGG01000005.1	2124102	2124216	+	115	25	31	14	3	4	0
RvY_r0013	BDGG01000005.1	2351466	2351580	-	115	0	0	0	0	0	0
RvY_r0014	BDGG01000005.1	2494614	2494728	+	115	0	0	0	0	0	0
RvY_r0015	BDGG01000005.1	2500477	2500591	+	115	5	0	0	0	0	0
RvY_r0016	BDGG01000005.1	2709120	2709234	-	115	0	2	0	2	0	0
RvY_r0017	BDGG01000005.1	2782772	2782886	+	115	6	1	0	1	0	0
RvY_r0018	BDGG01000005.1	2837250	2837364	-	115	6	2	0	0	0	0
RvY_t0048	BDGG01000005.1;BDGG01000005.1	3070811;3070860	3070846;3070896	-;-	73	0	2	0	0	0	0
RvY_t0049	BDGG01000005.1	3183695	3183767	-	73	0	0	0	0	0	0
RvY_t0050	BDGG01000006.1	1004889	1004960	-	72	0	0	0	0	0	0
RvY_t0051	BDGG01000006.1	1140869	1140942	+	74	0	0	0	0	0	0
RvY_t0052	BDGG01000006.1	1244268	1244338	-	71	0	0	0	0	0	0
RvY_t0053	BDGG01000006.1	1671793	1671873	+	81	3	2	0	0	0	0
RvY_t0054	BDGG01000007.1	319747	319818	-	72	0	2	0	0	0	0
RvY_t0055	BDGG01000007.1	637537	637609	+	73	0	0	0	0	0	0
RvY_t0056	BDGG01000007.1;BDGG01000007.1	731837;731886	731874;731929	+;+	82	30	27	23	0	3	0
RvY_t0057	BDGG01000007.1	1601292	1601363	-	72	0	0	0	0	0	0
RvY_t0058	BDGG01000007.1;BDGG01000007.1	2026560;2026627	2026603;2026663	-;-	81	0	0	0	0	0	0
RvY_t0059	BDGG01000007.1	2307324	2307394	-	71	0	1	0	0	0	0
RvY_t0060	BDGG01000008.1	1095	1167	-	73	0	0	0	0	0	0
RvY_t0061	BDGG01000008.1	253244	253314	+	71	0	0	0	0	0	0
RvY_t0062	BDGG01000008.1	658746	658818	-	73	0	0	0	0	0	0
RvY_t0063	BDGG01000008.1	763668	763739	-	72	0	0	0	0	0	0
RvY_t0064	BDGG01000008.1	853192	853263	+	72	6	8	0	0	1	0
RvY_t0065	BDGG01000008.1	888859	888929	-	71	0	0	0	0	0	0
RvY_r0019	BDGG01000008.1	994866	994980	+	115	0	0	0	0	0	0
RvY_r0020	BDGG01000008.1	1103030	1103144	+	115	12	3	0	0	0	0
RvY_t0066	BDGG01000008.1;BDGG01000008.1	1184261;1184326	1184296;1184362	-;-	73	0	0	0	0	0	0
RvY_t0067	BDGG01000008.1	1570607	1570687	+	81	0	0	0	0	0	0
RvY_t0068	BDGG01000008.1	1624704	1624776	+	73	0	0	0	0	0	0
RvY_r0021	BDGG01000008.1	1641431	1641545	+	115	0	1	0	0	0	0
RvY_t0069	BDGG01000008.1	1971402	1971474	+	73	0	0	0	0	0	0
RvY_t0070	BDGG01000008.1	1973290	1973362	-	73	0	0	0	0	0	0
RvY_t0071	BDGG01000009.1	276784	276857	+	74	0	1	0	0	0	0
RvY_t0072	BDGG01000009.1	1047018	1047089	+	72	0	0	0	0	0	0
RvY_t0073	BDGG01000010.1	11712	11789	-	78	0	0	0	0	0	0
RvY_t0074	BDGG01000010.1	818151	818222	-	72	0	0	0	0	0	0
RvY_t0075	BDGG01000010.1	990050	990121	-	72	0	0	0	0	0	0
RvY_r0022	BDGG01000010.1	1272790	1272904	+	115	0	0	0	0	0	0
RvY_t0076	BDGG01000011.1	543382	543453	+	72	0	0	0	0	0	0
RvY_t0077	BDGG01000011.1	1067158	1067231	+	74	3	0	0	0	0	0
RvY_t0078	BDGG01000011.1	1151050	1151121	-	72	0	0	0	0	0	0
RvY_t0079	BDGG01000011.1	1224757	1224828	+	72	0	0	1	0	0	0
RvY_t0080	BDGG01000012.1	111139	111210	-	72	0	0	0	0	0	0
RvY_t0081	BDGG01000012.1	132879	132950	-	72	0	0	0	0	0	0
RvY_t0082	BDGG01000012.1	324805	324877	-	73	13	13	0	0	0	1
RvY_t0083	BDGG01000012.1	374650	374720	-	71	0	2	0	0	0	0
RvY_t0084	BDGG01000012.1	778195	778267	-	73	0	0	0	0	0	0
RvY_t0085	BDGG01000012.1	938818	938899	+	82	1	0	0	0	0	0
RvY_t0086	BDGG01000013.1	485596	485668	+	73	0	0	0	0	0	0
RvY_t0087	BDGG01000013.1	490214	490286	-	73	0	0	0	0	0	0
RvY_t0088	BDGG01000013.1	1404926	1404997	+	72	0	0	0	0	0	0
RvY_t0089	BDGG01000013.1	1429199	1429270	-	72	0	0	0	0	0	0
RvY_t0090	BDGG01000014.1	160841	160912	+	72	0	1	0	0	0	0
RvY_t0091	BDGG01000014.1	328699	328771	+	73	0	0	0	0	0	0
RvY_t0092	BDGG01000015.1	66017	66088	-	72	0	0	0	0	0	0
RvY_t0093	BDGG01000015.1	240067	240139	+	73	6	1	0	0	0	0
RvY_t0094	BDGG01000017.1	368785	368856	-	72	0	0	0	0	0	0
RvY_r0023	BDGG01000017.1	763463	767392	+	3930	12	9	10	2	5	3
RvY_r0024	BDGG01000017.1	768503	770321	+	1819	8234	2982	4201	1355	3553	3021
RvY_r0031	BDGG01000017.1	770843	770995	+	153	0	0	0	0	0	0
RvY_r0025	BDGG01000017.1	770844	776611	+	5768	35240	10936	18514	5627	8267	8940
RvY_t0095	BDGG01000019.1	248630	248700	+	71	0	0	0	0	0	2
RvY_t0096	BDGG01000019.1	300670	300740	-	71	0	0	0	0	0	0
RvY_t0097	BDGG01000020.1	292198	292269	-	72	0	0	0	0	0	0
RvY_t0098	BDGG01000025.1	88274	88367	+	94	2	0	0	0	0	0
RvY_r0032	BDGG01000030.1	2213	2365	-	153	36	18	23	3	3	4
RvY_r0026	BDGG01000030.1	2886	4704	-	1819	3640	1492	1974	436	1339	1368
RvY_r0027	BDGG01000030.1	5815	11582	-	5768	31586	5065	8372	2560	3670	3425
RvY_r0033	BDGG01000030.1	11431	11583	-	153	0	0	0	0	0	0
RvY_r0028	BDGG01000030.1	12104	13922	-	1819	57	8	10	0	6	11
RvY_r0029	BDGG01000030.1	15033	18961	-	3929	50	14	33	3	23	16
RvY_t0099	BDGG01000100.1	778	850	-	73	0	0	0	0	0	0
RvY_r0030	BDGG01000173.1	1	1097	+	1097	2962	977	1444	349	979	966
RvY_mtTrnK	AP017609.1	2217	2279	+	63	352	362	200	10	16	11
RvY_mtTrnD	AP017609.1	2280	2344	+	65	113	100	39	1	6	0
RvY_mtTrnG	AP017609.1	3940	4000	+	61	734	823	420	12	50	14
RvY_mtTrnA	AP017609.1	4344	4405	+	62	196	255	130	17	28	17
RvY_mtTrnR	AP017609.1	4406	4458	+	53	1	0	0	0	0	0
RvY_mtTrnN	AP017609.1	4465	4525	+	61	0	0	0	0	0	0
RvY_mtTrnSgcu	AP017609.1	4526	4582	+	57	0	0	0	0	0	0
RvY_mtTrnE	AP017609.1	4583	4644	+	62	3	4	2	0	1	0
RvY_mtTrnF	AP017609.1	4644	4706	-	63	8	24	17	0	6	0
RvY_mtTrnH	AP017609.1	6349	6410	-	62	153	236	127	4	11	7
RvY_mtTrnT	AP017609.1	7998	8060	+	63	0	5	0	0	0	0
RvY_mtTrnP	AP017609.1	8060	8122	-	63	283	374	110	41	107	63
RvY_mtTrnSuga	AP017609.1	9677	9733	+	57	39	71	47	4	10	2
RvY_mtTrnLuaa	AP017609.1	10651	10712	-	62	160	143	48	10	22	16
RvY_mtTrnI	AP017609.1	10716	10778	-	63	0	1	0	0	0	0
RvY_mtTrnLuag	AP017609.1	10779	10834	-	56	2	0	3	0	0	0
RvY_mtRrnL	AP017609.1	11224	12351	-	1128	1019301	1022221	449967	43465	89266	53106
RvY_mtTrnV	AP017609.1	12352	12406	-	55	1	0	0	0	0	0
RvY_mtRrnS	AP017609.1	12407	13157	-	751	11661	8095	4717	661	1085	744
RvY_mtTrnQ	AP017609.1	13158	13224	-	67	0	0	0	0	0	0
RvY_mtTrnM	AP017609.1	13221	13282	+	62	34	39	12	3	7	0
RvY_mtTrnW	AP017609.1	14244	14306	+	63	119	145	71	3	1	11
RvY_mtTrnC	AP017609.1	14305	14360	-	56	0	0	0	0	0	0
RvY_mtTrnY	AP017609.1	14364	14426	-	63	0	1	0	0	0	0
